Year of End Time (Adj),Month of End Time (Adj),In Library,Artist Name,Track Name,Minutes Listened,Ms Played
2020,September,0,Pomme,De quoi te plaire,2.374083333,142445
2020,September,0,Pomme,De quoi te plaire - Session live montréalaise,2.42235,145341
2020,September,0,Pomme,A Lonely One - Session live montréalaise,4.080633333,244838
2020,September,0,Pomme,Pauline - Session live montréalaise,1.915033333,114902
2020,September,1,Jacob Collier,Sleeping On My Dreams,4.279766667,256786
2020,September,1,Jacob Collier,All I Need (with Mahalia & Ty Dolla $ign),4.086666667,245200
2020,September,1,Jacob Collier,Time Alone With You (feat. Daniel Caesar),4.270666667,256240
2020,September,1,Samia,Big Wheel,3.262883333,195773
2020,September,1,Devin Dawson,All On Me,3.743766667,224626
2020,September,1,Drake,Laugh Now Cry Later (feat. Lil Durk),4.1965,251790
2020,September,1,Jacob Collier,Sleeping On My Dreams,4.279766667,256786
2020,September,1,Jacob Collier,All I Need (with Mahalia & Ty Dolla $ign),4.086666667,245200
2020,September,1,Jacob Collier,Time Alone With You (feat. Daniel Caesar),4.270666667,256240
2020,September,1,Samia,Big Wheel,3.262883333,195773
2020,September,1,Devin Dawson,All On Me,3.743766667,224626
2020,September,1,Drake,Laugh Now Cry Later (feat. Lil Durk),4.3582,261492
2020,September,1,DaBaby,ROCKSTAR (feat. Roddy Ricch),3.028883333,181733
2020,September,1,24kGoldn,Mood (feat. iann dior),2.342083333,140525
2020,September,1,Subtle Pride,Gentle Girl,3.813066667,228784
2020,September,1,Hozier,"Wasteland, Baby!",4.4411,266466
2020,September,1,Kamasi Washington,Desire,1.00025,60015
2020,September,0,Jacob Collier,CLARITY,0.866,51960
2020,September,0,Jacob Collier,Count The People (feat. Jessie Reyez & T-Pain),2.792433333,167546
2020,September,0,Jacob Collier,In My Bones (feat. Kimbra & Tank and The Bangas),4.154883333,249293
2020,September,1,Jacob Collier,Time Alone With You (feat. Daniel Caesar),4.270666667,256240
2020,September,1,Jacob Collier,All I Need (with Mahalia & Ty Dolla $ign),4.086666667,245200
2020,September,0,Jacob Collier,In Too Deep (feat. Kiana Ledé),0.828433333,49706
2020,September,0,Jacob Collier,CLARITY,0.866,51960
2020,September,0,Jacob Collier,Count The People (feat. Jessie Reyez & T-Pain),2.792433333,167546
2020,September,0,Jacob Collier,In My Bones (feat. Kimbra & Tank and The Bangas),1.6532,99192
2020,September,0,Jacob Collier,In My Bones (feat. Kimbra & Tank and The Bangas),2.50155,150093
2020,September,1,Jacob Collier,Time Alone With You (feat. Daniel Caesar),4.270666667,256240
2020,September,0,Jacob Collier,In Too Deep (feat. Kiana Ledé),0.062566667,3754
2020,September,1,Jacob Collier,All I Need (with Mahalia & Ty Dolla $ign),1.48875,89325
2020,September,1,Jacob Collier,All I Need (with Mahalia & Ty Dolla $ign),4.086666667,245200
