Year of End Time (Adj),Month of End Time (Adj),In Library,Artist Name,Track Name,Album,End Time,End Time (Adj),Track Uri,Unique ID,F1,Minutes Listened,Ms Played
2021,April,0,Wyldest,Hollow,,4/25/2021 7:58:00 PM,4/25/2021 2:58:00 PM,,Wyldest:Hollow,9067,3.073883333,184433
2021,July,0,X Ambassadors,American Oxygen,,7/31/2021 2:02:00 PM,7/31/2021 9:02:00 AM,,X Ambassadors:American Oxygen,14446,0.089,5340
2020,October,0,Y La Bamba,Ponce Pilato,,10/13/2020 3:46:00 PM,10/13/2020 10:46:00 AM,,Y La Bamba:Ponce Pilato,1729,3.848666667,230920
2020,November,0,Y La Bamba,Ponce Pilato,,11/13/2020 10:29:00 PM,11/13/2020 5:29:00 PM,,Y La Bamba:Ponce Pilato,2678,3.848666667,230920
2021,January,0,Ycee,Midf (Money I Dey Find),,1/28/2021 5:53:00 PM,1/28/2021 12:53:00 PM,,Ycee:Midf (Money I Dey Find),4792,3.6739,220434
2021,January,0,Ycee,Midf (Money I Dey Find),,1/28/2021 8:47:00 PM,1/28/2021 3:47:00 PM,,Ycee:Midf (Money I Dey Find),4800,3.6739,220434
2021,February,0,Ycee,Midf (Money I Dey Find),,2/1/2021 11:45:00 PM,2/1/2021 6:45:00 PM,,Ycee:Midf (Money I Dey Find),4882,3.6739,220434
2021,February,0,Ycee,Midf (Money I Dey Find),,2/2/2021 12:14:00 AM,2/1/2021 7:14:00 PM,,Ycee:Midf (Money I Dey Find),4890,3.6739,220434
2021,August,0,Yellowcard,Ocean Avenue,,8/6/2021 10:44:00 PM,8/6/2021 5:44:00 PM,,Yellowcard:Ocean Avenue,15157,3.304433333,198266
2021,February,0,Yo La Tengo,You Can Have It All,,2/26/2021 7:24:00 PM,2/26/2021 2:24:00 PM,,Yo La Tengo:You Can Have It All,5918,4.610666667,276640
2021,May,0,Yoke Lore,Everybody Wants to Be Loved,,5/22/2021 4:05:00 PM,5/22/2021 11:05:00 AM,,Yoke Lore:Everybody Wants to Be Loved,10111,3.5523,213138
2021,May,0,Yoke Lore,Everybody Wants to Be Loved,,5/24/2021 11:47:00 AM,5/24/2021 6:47:00 AM,,Yoke Lore:Everybody Wants to Be Loved,10238,3.5523,213138
